place_id,num_all,source_slug,place_name,city_name,source_id,address,latitude,longitude,source_web_url,evidence
bonn-bcp-parken-Rabinstrasse,305,archive_gap_2026_09,Rabinstrasse,Bonn,bonn-bcp-parken,,,,http://www.bcp-bonn.de/,bcp-bonn.de bcpext.xml 'gesamt'
bonn-bcp-parken-bike-ride,220,archive_gap_2026_09,bike ride,Bonn,bonn-bcp-parken,,,,http://www.bcp-bonn.de/,bcp-bonn.de bcpext.xml 'gesamt'
bonn-bcp-parken-operngarage,380,archive_gap_2026_09,operngarage,Bonn,bonn-bcp-parken,,,,http://www.bcp-bonn.de/,bcp-bonn.de bcpext.xml 'gesamt'
bonn-bcp-parken-unigarage,438,archive_gap_2026_09,unigarage,Bonn,bonn-bcp-parken,,,,http://www.bcp-bonn.de/,bcp-bonn.de bcpext.xml 'gesamt'
dresden-parken-Grenzstrasse,38,archive_gap_2026_09,Grenzstraße,Dresden,dresden-parken,,,,https://www.dresden.de/freie-parkplaetze,dresden.de 'Stellplätze'
dresden-parken-SachsenEnergie-Center,251,archive_gap_2026_09,SachsenEnergie Center,Dresden,dresden-parken,,,,https://www.dresden.de/freie-parkplaetze,dresden.de 'Stellplätze'
dresden-parken-Stadtforum-Dresden,88,archive_gap_2026_09,Stadtforum Dresden,Dresden,dresden-parken,,,,https://www.dresden.de/freie-parkplaetze,dresden.de 'Stellplätze'
ffh-parken-bad-homburg-Am-Bahnhof,373,archive_gap_2026_09,,,,,,,,ffh.de 'Plätze insgesamt'
ffh-parken-bad-homburg-Louisen-Arkaden,230,archive_gap_2026_09,,,,,,,,ffh.de 'Plätze insgesamt'
ffh-parken-bad-homburg-Parkgarage-Kurhaus,256,archive_gap_2026_09,,,,,,,,ffh.de 'Plätze insgesamt'
ffh-parken-bad-homburg-Parkgarage-Rathaus,200,archive_gap_2026_09,,,,,,,,ffh.de 'Plätze insgesamt'
ffh-parken-bad-homburg-Parkgarage-Schloss,253,archive_gap_2026_09,,,,,,,,ffh.de 'Plätze insgesamt'
ffh-parken-bad-homburg-Parkhaus-am-Guterbahnhof,198,archive_gap_2026_09,Parkhaus am Güterbahnhof,Bad Homburg,ffh-parken,,,,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Aculeum,752,archive_gap_2026_09,Aculeum,Frankfurt,ffh-parken,,50.082535,8.635137,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Alt-Sachsenhausen,341,archive_gap_2026_09,Alt-Sachsenhausen,Frankfurt,ffh-parken,,50.10563,8.685153,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Burgerhaus-Bornheim,85,archive_gap_2026_09,Bürgerhaus Bornheim,Frankfurt,ffh-parken,,50.123276,8.70452,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Congresscenter-Messe-Frankfurt-Maritim-Hotel,350,archive_gap_2026_09,Congresscenter Messe Frankfurt (Maritim Hotel),Frankfurt,ffh-parken,,50.11284,8.649471,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Friedrichsheim,227,archive_gap_2026_09,Friedrichsheim,Frankfurt,ffh-parken,,50.091953,8.646487,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Gateway-Garden,333,archive_gap_2026_09,Gateway Garden,Frankfurt,ffh-parken,,50.054577,8.591302,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Goetheplatz,591,archive_gap_2026_09,Goetheplatz,Frankfurt,ffh-parken,,50.11301,8.676544,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Hafenpark-Quartier-NORD,220,archive_gap_2026_09,Hafenpark Quartier NORD,Frankfurt,ffh-parken,,50.11088,8.709593,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Hotel-Intercontinental,169,archive_gap_2026_09,Hotel Intercontinental,Frankfurt,ffh-parken,,50.104527,8.669036,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Hotel-Movenpick,120,archive_gap_2026_09,Hotel Mövenpick,Frankfurt,ffh-parken,,50.109894,8.651027,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Junghofstrasse,315,archive_gap_2026_09,Junghofstraße,Frankfurt,ffh-parken,,50.113262,8.673919,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Mainzer-Landstrasse,290,archive_gap_2026_09,Mainzer Landstraße,Frankfurt,ffh-parken,,50.10211,8.6411295,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Mayfarth-Quartier,200,archive_gap_2026_09,Mayfarth Quartier,Frankfurt,ffh-parken,,50.110752,8.710519,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Messeturm,820,archive_gap_2026_09,Messeturm,Frankfurt,ffh-parken,,50.112072,8.6528225,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Mousonturm,125,archive_gap_2026_09,Mousonturm,Frankfurt,ffh-parken,,50.118694,8.699925,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Opernturm,289,archive_gap_2026_09,Opernturm,Frankfurt,ffh-parken,,50.11609,8.670341,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Ordnungsamt,143,archive_gap_2026_09,Ordnungsamt,Frankfurt,ffh-parken,,50.099274,8.633534,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-P-R-Haus-Borsigallee,899,archive_gap_2026_09,P+R-Haus Borsigallee,Frankfurt,ffh-parken,,50.137203,8.745201,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-P-R-Kalbach,376,archive_gap_2026_09,P+R Kalbach,Frankfurt,ffh-parken,,50.183296,8.6570835,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Parkhaus-Konigsteiner-Strasse,256,archive_gap_2026_09,Parkhaus Königsteiner Straße,Frankfurt,ffh-parken,,50.101517,8.547622,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
ffh-parken-frankfurt-Schiller-Passage,353,archive_gap_2026_09,Schiller-Passage,Frankfurt,ffh-parken,,50.116035,8.677573,https://www.ffh.de/verkehr/parkhaeuser/,ffh.de 'Plätze insgesamt'
