place_id,num_all,source_slug
koeln-apps-parken-Alte-Wallgasse,263,alte_wallgasse
koeln-apps-parken-Am-Neumarkt,333,am_neumarkt
koeln-apps-parken-An-Farina,304,an_farina
koeln-apps-parken-BP-Lungengasse,250,bp_lungengasse
koeln-apps-parken-Bazaar-de-Cologne,300,bazaar_de_cologne
koeln-apps-parken-Bruck-Mauspfad,357,brueck_mauspfad
koeln-apps-parken-Bruckenstrasse,756,brueckenstrasse
koeln-apps-parken-Cacilienstrasse,339,"caecilienstrasse (manual: page titled ""Stadtmitte (Cäcilienstraße)"")"
koeln-apps-parken-Dom,520,dom
koeln-apps-parken-Gross-St-Martin,213,gross_st_martin
koeln-apps-parken-Gurzenich,315,guerzenich
koeln-apps-parken-Hauptbahnhof,395,hbf_breslauer_platz
koeln-apps-parken-Heumarkt,429,heumarkt
koeln-apps-parken-Hohe-Strasse,280,hohe_strasse
koeln-apps-parken-Im-Klapperhof,459,im_klapperhof
koeln-apps-parken-KSK-Richmodstr,180,ksk__richmodstr
koeln-apps-parken-Kaiser-Wilhelm-Ring,600,kaiserwilhelmring
koeln-apps-parken-Karstadt,452,karstadt
koeln-apps-parken-Kaufhof,1300,kaufhof
koeln-apps-parken-Koln-Arcaden,1800,koeln_arcaden
koeln-apps-parken-Lanxess-Arena-P1,1748,lanxessarena_1
koeln-apps-parken-Lanxess-Arena-P2,266,lanxessarena_2
koeln-apps-parken-Lanxess-Arena-P3,480,lanxessarena_3
koeln-apps-parken-Lanxess-Arena-P4,309,lanxessarena_4
koeln-apps-parken-Maastrichter-Strasse,684,maastrichter_strasse
koeln-apps-parken-Maritim,600,maritim
koeln-apps-parken-Marsdorf-P-R,621,marsdorf_pundr
koeln-apps-parken-Mediapark,1148,mediapark
koeln-apps-parken-Opern-Passagen,550,opern_passagen
koeln-apps-parken-P-R-Stadion-P2,560,pundr_stadion
koeln-apps-parken-Philharmonie,372,philharmonie
koeln-apps-parken-REWE-City,217,rewecity
koeln-apps-parken-Rhein-Triadem,606,"rhein_triadem (manual: page now titled ""Altstadt-Nord, P7"")"
koeln-apps-parken-Ringkarree,434,gerling_ring_carre
koeln-apps-parken-Rudolfplatz,400,rudolfplatz
koeln-apps-parken-Sparkasse-Schaafenstr,238,sk_koeln_schaafenstr
koeln-apps-parken-Stadion-P1,550,stadion_p1
koeln-apps-parken-Stadion-P3,1000,stadion_p3
koeln-apps-parken-Stadion-P4,550,stadion_p4
koeln-apps-parken-Stadion-P6,1000,stadion_p6
koeln-apps-parken-Stadion-P7,1000,stadion_p7
koeln-apps-parken-Stadion-P8-Bus,80,stadion_p8_bus
koeln-apps-parken-Stadion-P8-PKW,500,stadion_p8_pkw
koeln-apps-parken-Theater-Krebsgasse,470,theater__krebsgasse
koeln-apps-parken-Wolfsstrasse,380,wolfstrasse
koeln-apps-parken-Zoo,392,zoo
