place_id,num_all,source_slug
ffh-parken-mannheim-U2,190,mobidata_bw
ffh-parken-mannheim-D5-Reiss-Museum,364,mobidata_bw
ffh-parken-mannheim-G1-Marktplatz,334,mobidata_bw
ffh-parken-mannheim-Hbf-P1,325,mobidata_bw
ffh-parken-mannheim-Hbf-P2,325,mobidata_bw
ffh-parken-mannheim-Hbf-P3,222,mobidata_bw
ffh-parken-mannheim-N6-Komfort,210,mobidata_bw
ffh-parken-mannheim-N6-Standard-Holiday-Inn,291,mobidata_bw
ffh-parken-mannheim-H6,250,mobidata_bw
ffh-parken-mannheim-Parkplatz-M4a,65,mobidata_bw
ffh-parken-mannheim-D3,378,mobidata_bw
ffh-parken-mannheim-N1-Stadthaus,335,mobidata_bw
ffh-parken-mannheim-N2-Stadthaus,260,mobidata_bw
parken-mannheim-U2-Tiefgarage,190,mobidata_bw
parken-mannheim-D5-Reiss-Museum-Tiefgarage,364,mobidata_bw
parken-mannheim-G1-Marktplatz-Tiefgarage,334,mobidata_bw
parken-mannheim-Hauptbahnhof-P1-Tiefgarage,325,mobidata_bw
parken-mannheim-Hauptbahnhof-P2-Parkhaus,325,mobidata_bw
parken-mannheim-N6-Komforthaus,210,mobidata_bw
parken-mannheim-N6-Standardhaus,291,mobidata_bw
parken-mannheim-H6-Tiefgarage,250,mobidata_bw
parken-mannheim-M4a-Parkplatz,65,mobidata_bw
parken-mannheim-D3-Tiefgarage,378,mobidata_bw
parken-mannheim-Kunsthalle-Tiefgarage,387,mobidata_bw
parken-mannheim-Hauptbahnhof-P5-Parkhaus,584,mobidata_bw
